Name,Category,Date,CS ,Emission,WInflation,MInflation,DInflation
Arbitrum,Layer2,01-May,2.82E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,20-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,21-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,22-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,23-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,24-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,25-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,26-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,27-May,2.94E+09,0.00E+00,0.043,0.000,0.000
Arbitrum,Layer2,28-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,29-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,30-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,31-May,2.94E+09,0.00E+00,0.000,0.000,0.000
Arbitrum,Layer2,01-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,02-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,03-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,04-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,05-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,06-Jun,2.94E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,07-Jun,2.95E+09,1.00E+07,0.003,0.043,0.003
Arbitrum,Layer2,08-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,09-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,10-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,11-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,12-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,13-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,14-Jun,2.95E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,15-Jun,2.95E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,16-Jun,3.04E+09,9.00E+07,0.031,0.043,0.031
Arbitrum,Layer2,17-Jun,3.04E+09,0.00E+00,0.031,0.043,0.000
Arbitrum,Layer2,18-Jun,3.04E+09,0.00E+00,0.031,0.043,0.000
Arbitrum,Layer2,19-Jun,3.04E+09,0.00E+00,0.031,0.043,0.000
Arbitrum,Layer2,20-Jun,3.04E+09,0.00E+00,0.031,0.043,0.000
Arbitrum,Layer2,21-Jun,3.04E+09,0.00E+00,0.031,0.043,0.000
Arbitrum,Layer2,22-Jun,3.05E+09,1.00E+07,0.034,0.043,0.003
Arbitrum,Layer2,23-Jun,3.05E+09,0.00E+00,0.034,0.043,0.000
Arbitrum,Layer2,24-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,25-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,26-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,27-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,28-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,29-Jun,3.05E+09,0.00E+00,0.003,0.043,0.000
Arbitrum,Layer2,30-Jun,3.05E+09,0.00E+00,0.000,0.043,0.000
Arbitrum,Layer2,01-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,02-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,03-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,04-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,05-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,06-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,07-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,08-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,09-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,10-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,11-Jul,3.05E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,12-Jul,3.06E+09,1.00E+07,0.003,0.037,0.003
Arbitrum,Layer2,13-Jul,3.06E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,14-Jul,3.06E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,15-Jul,3.06E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,16-Jul,3.15E+09,9.00E+07,0.033,0.037,0.029
Arbitrum,Layer2,17-Jul,3.15E+09,0.00E+00,0.033,0.037,0.000
Arbitrum,Layer2,18-Jul,3.15E+09,0.00E+00,0.033,0.037,0.000
Arbitrum,Layer2,19-Jul,3.15E+09,0.00E+00,0.033,0.037,0.000
Arbitrum,Layer2,20-Jul,3.15E+09,0.00E+00,0.029,0.037,0.000
Arbitrum,Layer2,21-Jul,3.15E+09,0.00E+00,0.029,0.037,0.000
Arbitrum,Layer2,22-Jul,3.15E+09,0.00E+00,0.029,0.037,0.000
Arbitrum,Layer2,23-Jul,3.15E+09,0.00E+00,0.029,0.037,0.000
Arbitrum,Layer2,24-Jul,3.15E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,25-Jul,3.15E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,26-Jul,3.15E+09,0.00E+00,0.000,0.037,0.000
Arbitrum,Layer2,27-Jul,3.16E+09,1.00E+07,0.003,0.037,0.003
Arbitrum,Layer2,28-Jul,3.16E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,29-Jul,3.16E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,30-Jul,3.16E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,31-Jul,3.16E+09,0.00E+00,0.003,0.037,0.000
Arbitrum,Layer2,01-Aug,3.16E+09,0.00E+00,0.003,0.036,0.000
Arbitrum,Layer2,02-Aug,3.16E+09,0.00E+00,0.003,0.036,0.000
Arbitrum,Layer2,03-Aug,3.16E+09,0.00E+00,0.003,0.036,0.000
Arbitrum,Layer2,04-Aug,3.16E+09,0.00E+00,0.000,0.036,0.000
Arbitrum,Layer2,05-Aug,3.16E+09,0.00E+00,0.000,0.036,0.000
